iso3c,fabio_area_code,fabio_item_code,fabio_item,year,total_product_output,price,va_source,fao_status,gap_cause,isic,file
AFG,2,2531,Potatoes and products,2021,879486,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2021,879486,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2022,888967,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2022,888967,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2023,889069,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2531,Potatoes and products,2023,889069,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2029,Poultry Birds,2020,0,,EXIOBASE,reported,no_quantity,A,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-A.rds
AFG,2,2029,Poultry Birds,2020,0,,GLORIA,reported,no_quantity,A,FABIOv2_COMBINED_GLORIA_value_added_ISIC-A.rds
AFG,2,2549,"Pulses, Other and products",2010,52954,483.90623731597,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2010,52954,483.90623731597,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2011,66993,542.416918559217,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2011,66993,542.416918559217,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2012,69059,540.668737755009,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2012,69059,540.668737755009,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2013,59930,507.061952684621,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2013,59930,507.061952684621,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2014,59779,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2014,59779,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2015,106903,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2015,106903,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2016,82908,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2016,82908,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2017,38018,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2017,38018,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2549,"Pulses, Other and products",2018,42814,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
